Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], v_square, i_square,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
2, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
3, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
4, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
5, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
6, 1219, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
7, 1215, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
8, 1214, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
9, 1214, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
10, 1214, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
11, 1214, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
12, 1214, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1,
