Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: ns, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], v_square, i_square,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
500, 1276, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1125, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0,
1000, 1282, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1181, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0,
1500, 1283, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1213, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1,
2000, 1266, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1229, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0,
2500, 1250, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1216, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0,
3000, 1270, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1221, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1,
3500, 1318, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1263, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1,
4000, 1341, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1,
4500, 1332, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1388, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1,
