Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ns, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
500,925,0,0,1,1,1,0,0,1,1,1,0,1,894,0,0,1,1,0,1,1,1,1,1,1,0,959,0,0,1,1,1,0,1,1,1,1,1,1,872,0,0,1,1,0,1,1,0,1,0,0,0
1000,901,0,0,1,1,1,0,0,0,0,1,0,1,922,0,0,1,1,1,0,0,1,1,0,1,0,925,0,0,1,1,1,0,0,1,1,1,0,1,894,0,0,1,1,0,1,1,1,1,1,1,0
1500,883,0,0,1,1,0,1,1,1,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1,901,0,0,1,1,1,0,0,0,0,1,0,1,922,0,0,1,1,1,0,0,1,1,0,1,0
2000,874,0,0,1,1,0,1,1,0,1,0,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0,883,0,0,1,1,0,1,1,1,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1
2500,874,0,0,1,1,0,1,1,0,1,0,1,0,1045,0,1,0,0,0,0,0,1,0,1,0,1,874,0,0,1,1,0,1,1,0,1,0,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0
3000,882,0,0,1,1,0,1,1,1,0,0,1,0,1096,0,1,0,0,0,1,0,0,1,0,0,0,874,0,0,1,1,0,1,1,0,1,0,1,0,1045,0,1,0,0,0,0,0,1,0,1,0,1
3500,898,0,0,1,1,1,0,0,0,0,0,1,0,1150,0,1,0,0,0,1,1,1,1,1,1,0,882,0,0,1,1,0,1,1,1,0,0,1,0,1096,0,1,0,0,0,1,0,0,1,0,0,0
4000,923,0,0,1,1,1,0,0,1,1,0,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1,898,0,0,1,1,1,0,0,0,0,0,1,0,1150,0,1,0,0,0,1,1,1,1,1,1,0
4500,955,0,0,1,1,1,0,1,1,1,0,1,1,1262,0,1,0,0,1,1,1,0,1,1,1,0,923,0,0,1,1,1,0,0,1,1,0,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1
5000,993,0,0,1,1,1,1,1,0,0,0,0,1,1318,0,1,0,1,0,0,1,0,0,1,1,0,955,0,0,1,1,1,0,1,1,1,0,1,1,1262,0,1,0,0,1,1,1,0,1,1,1,0
5500,1038,0,1,0,0,0,0,0,0,1,1,1,0,1370,0,1,0,1,0,1,0,1,1,0,1,0,993,0,0,1,1,1,1,1,0,0,0,0,1,1318,0,1,0,1,0,0,1,0,0,1,1,0
6000,1086,0,1,0,0,0,0,1,1,1,1,1,0,1420,0,1,0,1,1,0,0,0,1,1,0,0,1038,0,1,0,0,0,0,0,0,1,1,1,0,1370,0,1,0,1,0,1,0,1,1,0,1,0
6500,1140,0,1,0,0,0,1,1,1,0,1,0,0,1464,0,1,0,1,1,0,1,1,1,0,0,0,1086,0,1,0,0,0,0,1,1,1,1,1,0,1420,0,1,0,1,1,0,0,0,1,1,0,0
7000,1197,0,1,0,0,1,0,1,0,1,1,0,1,1500,0,1,0,1,1,1,0,1,1,1,0,0,1140,0,1,0,0,0,1,1,1,0,1,0,0,1464,0,1,0,1,1,0,1,1,1,0,0,0
7500,1253,0,1,0,0,1,1,1,0,0,1,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0,1197,0,1,0,0,1,0,1,0,1,1,0,1,1500,0,1,0,1,1,1,0,1,1,1,0,0
8000,1310,0,1,0,1,0,0,0,1,1,1,1,0,1553,0,1,1,0,0,0,0,1,0,0,0,1,1253,0,1,0,0,1,1,1,0,0,1,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0
8500,1365,0,1,0,1,0,1,0,1,0,1,0,1,1566,0,1,1,0,0,0,0,1,1,1,1,0,1310,0,1,0,1,0,0,0,1,1,1,1,0,1553,0,1,1,0,0,0,0,1,0,0,0,1
9000,1417,0,1,0,1,1,0,0,0,1,0,0,1,1572,0,1,1,0,0,0,1,0,0,1,0,0,1365,0,1,0,1,0,1,0,1,0,1,0,1,1566,0,1,1,0,0,0,0,1,1,1,1,0
9500,1463,0,1,0,1,1,0,1,1,0,1,1,1,1568,0,1,1,0,0,0,1,0,0,0,0,0,1417,0,1,0,1,1,0,0,0,1,0,0,1,1572,0,1,1,0,0,0,1,0,0,1,0,0
10000,1503,0,1,0,1,1,1,0,1,1,1,1,1,1553,0,1,1,0,0,0,0,1,0,0,0,1,1463,0,1,0,1,1,0,1,1,0,1,1,1,1568,0,1,1,0,0,0,1,0,0,0,0,0
10500,1538,0,1,1,0,0,0,0,0,0,0,1,0,1530,0,1,0,1,1,1,1,1,1,0,1,0,1503,0,1,0,1,1,1,0,1,1,1,1,1,1553,0,1,1,0,0,0,0,1,0,0,0,1
11000,1564,0,1,1,0,0,0,0,1,1,1,0,0,1498,0,1,0,1,1,1,0,1,1,0,1,0,1538,0,1,1,0,0,0,0,0,0,0,1,0,1530,0,1,0,1,1,1,1,1,1,0,1,0
11500,1583,0,1,1,0,0,0,1,0,1,1,1,1,1462,0,1,0,1,1,0,1,1,0,1,1,0,1564,0,1,1,0,0,0,0,1,1,1,0,0,1498,0,1,0,1,1,1,0,1,1,0,1,0
12000,1593,0,1,1,0,0,0,1,1,1,0,0,1,1419,0,1,0,1,1,0,0,0,1,0,1,1,1583,0,1,1,0,0,0,1,0,1,1,1,1,1462,0,1,0,1,1,0,1,1,0,1,1,0
12500,1594,0,1,1,0,0,0,1,1,1,0,1,0,1370,0,1,0,1,0,1,0,1,1,0,1,0,1593,0,1,1,0,0,0,1,1,1,0,0,1,1419,0,1,0,1,1,0,0,0,1,0,1,1
13000,1587,0,1,1,0,0,0,1,1,0,0,1,1,1317,0,1,0,1,0,0,1,0,0,1,0,1,1594,0,1,1,0,0,0,1,1,1,0,1,0,1370,0,1,0,1,0,1,0,1,1,0,1,0
13500,1570,0,1,1,0,0,0,1,0,0,0,1,0,1261,0,1,0,0,1,1,1,0,1,1,0,1,1587,0,1,1,0,0,0,1,1,0,0,1,1,1317,0,1,0,1,0,0,1,0,0,1,0,1
14000,1545,0,1,1,0,0,0,0,0,1,0,0,1,1205,0,1,0,0,1,0,1,1,0,1,0,1,1570,0,1,1,0,0,0,1,0,0,0,1,0,1261,0,1,0,0,1,1,1,0,1,1,0,1
14500,1511,0,1,0,1,1,1,1,0,0,1,1,1,1151,0,1,0,0,0,1,1,1,1,1,1,1,1545,0,1,1,0,0,0,0,0,1,0,0,1,1205,0,1,0,0,1,0,1,1,0,1,0,1
15000,1469,0,1,0,1,1,0,1,1,1,1,0,1,1096,0,1,0,0,0,1,0,0,1,0,0,0,1511,0,1,0,1,1,1,1,0,0,1,1,1,1151,0,1,0,0,0,1,1,1,1,1,1,1
15500,1423,0,1,0,1,1,0,0,0,1,1,1,1,1046,0,1,0,0,0,0,0,1,0,1,1,0,1469,0,1,0,1,1,0,1,1,1,1,0,1,1096,0,1,0,0,0,1,0,0,1,0,0,0
16000,1371,0,1,0,1,0,1,0,1,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1,1423,0,1,0,1,1,0,0,0,1,1,1,1,1046,0,1,0,0,0,0,0,1,0,1,1,0
16500,1317,0,1,0,1,0,0,1,0,0,1,0,1,956,0,0,1,1,1,0,1,1,1,1,0,0,1371,0,1,0,1,0,1,0,1,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1
17000,1260,0,1,0,0,1,1,1,0,1,1,0,0,919,0,0,1,1,1,0,0,1,0,1,1,1,1317,0,1,0,1,0,0,1,0,0,1,0,1,956,0,0,1,1,1,0,1,1,1,1,0,0
17500,1204,0,1,0,0,1,0,1,1,0,1,0,0,891,0,0,1,1,0,1,1,1,1,0,1,1,1260,0,1,0,0,1,1,1,0,1,1,0,0,919,0,0,1,1,1,0,0,1,0,1,1,1
18000,1147,0,1,0,0,0,1,1,1,1,0,1,1,871,0,0,1,1,0,1,1,0,0,1,1,1,1204,0,1,0,0,1,0,1,1,0,1,0,0,891,0,0,1,1,0,1,1,1,1,0,1,1
18500,1093,0,1,0,0,0,1,0,0,0,1,0,1,858,0,0,1,1,0,1,0,1,1,0,1,0,1147,0,1,0,0,0,1,1,1,1,0,1,1,871,0,0,1,1,0,1,1,0,0,1,1,1
19000,1044,0,1,0,0,0,0,0,1,0,1,0,0,853,0,0,1,1,0,1,0,1,0,1,0,1,1093,0,1,0,0,0,1,0,0,0,1,0,1,858,0,0,1,1,0,1,0,1,1,0,1,0
19500,998,0,0,1,1,1,1,1,0,0,1,1,0,856,0,0,1,1,0,1,0,1,1,0,0,0,1044,0,1,0,0,0,0,0,1,0,1,0,0,853,0,0,1,1,0,1,0,1,0,1,0,1
20000,960,0,0,1,1,1,1,0,0,0,0,0,0,870,0,0,1,1,0,1,1,0,0,1,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0,856,0,0,1,1,0,1,0,1,1,0,0,0
20500,927,0,0,1,1,1,0,0,1,1,1,1,1,889,0,0,1,1,0,1,1,1,1,0,0,1,960,0,0,1,1,1,1,0,0,0,0,0,0,870,0,0,1,1,0,1,1,0,0,1,1,0
21000,902,0,0,1,1,1,0,0,0,0,1,1,0,919,0,0,1,1,1,0,0,1,0,1,1,1,927,0,0,1,1,1,0,0,1,1,1,1,1,889,0,0,1,1,0,1,1,1,1,0,0,1
21500,885,0,0,1,1,0,1,1,1,0,1,0,1,955,0,0,1,1,1,0,1,1,1,0,1,1,902,0,0,1,1,1,0,0,0,0,1,1,0,919,0,0,1,1,1,0,0,1,0,1,1,1
22000,875,0,0,1,1,0,1,1,0,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1,885,0,0,1,1,0,1,1,1,0,1,0,1,955,0,0,1,1,1,0,1,1,1,0,1,1
22500,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1,875,0,0,1,1,0,1,1,0,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1
23000,880,0,0,1,1,0,1,1,1,0,0,0,0,1096,0,1,0,0,0,1,0,0,1,0,0,0,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1
23500,897,0,0,1,1,1,0,0,0,0,0,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0,880,0,0,1,1,0,1,1,1,0,0,0,0,1096,0,1,0,0,0,1,0,0,1,0,0,0
24000,923,0,0,1,1,1,0,0,1,1,0,1,1,1208,0,1,0,0,1,0,1,1,1,0,0,0,897,0,0,1,1,1,0,0,0,0,0,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0
24500,956,0,0,1,1,1,0,1,1,1,1,0,0,1264,0,1,0,0,1,1,1,1,0,0,0,0,923,0,0,1,1,1,0,0,1,1,0,1,1,1208,0,1,0,0,1,0,1,1,1,0,0,0
25000,995,0,0,1,1,1,1,1,0,0,0,1,1,1319,0,1,0,1,0,0,1,0,0,1,1,1,956,0,0,1,1,1,0,1,1,1,1,0,0,1264,0,1,0,0,1,1,1,1,0,0,0,0
