Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
1,1045,0,1,0,0,0,0,0,1,0,1,0,1,1513,0,1,0,1,1,1,1,0,1,0,0,1
2,1031,0,1,0,0,0,0,0,0,0,1,1,1,1469,0,1,0,1,1,0,1,1,1,1,0,1
3,1024,0,1,0,0,0,0,0,0,0,0,0,0,1421,0,1,0,1,1,0,0,0,1,1,0,1
4,1026,0,1,0,0,0,0,0,0,0,0,1,0,1369,0,1,0,1,0,1,0,1,1,0,0,1
5,1033,0,1,0,0,0,0,0,0,1,0,0,1,1313,0,1,0,1,0,0,1,0,0,0,0,1
6,1047,0,1,0,0,0,0,0,1,0,1,1,1,1253,0,1,0,0,1,1,1,0,0,1,0,1
7,1067,0,1,0,0,0,0,1,0,1,0,1,1,1195,0,1,0,0,1,0,1,0,1,0,1,1
8,1091,0,1,0,0,0,1,0,0,0,0,1,1,1137,0,1,0,0,0,1,1,1,0,0,0,1
9,1117,0,1,0,0,0,1,0,1,1,1,0,1,1081,0,1,0,0,0,0,1,1,1,0,0,1
10,1150,0,1,0,0,0,1,1,1,1,1,1,0,1031,0,1,0,0,0,0,0,0,0,1,1,1
11,1183,0,1,0,0,1,0,0,1,1,1,1,1,987,0,0,1,1,1,1,0,1,1,0,1,1
12,1219,0,1,0,0,1,1,0,0,0,0,1,1,949,0,0,1,1,1,0,1,1,0,1,0,1
13,1257,0,1,0,0,1,1,1,0,1,0,0,1,925,0,0,1,1,1,0,0,1,1,1,0,1
