Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
signed_xk_im_o_v[15:0] =, signed_xk_im_o_v[15], signed_xk_im_o_v[14], signed_xk_im_o_v[13], signed_xk_im_o_v[12], signed_xk_im_o_v[11], signed_xk_im_o_v[10], signed_xk_im_o_v[9], signed_xk_im_o_v[8], signed_xk_im_o_v[7], signed_xk_im_o_v[6], signed_xk_im_o_v[5], signed_xk_im_o_v[4], signed_xk_im_o_v[3], signed_xk_im_o_v[2], signed_xk_im_o_v[1], signed_xk_im_o_v[0], ,
signed_xk_re_o_v[15:0] =, signed_xk_re_o_v[15], signed_xk_re_o_v[14], signed_xk_re_o_v[13], signed_xk_re_o_v[12], signed_xk_re_o_v[11], signed_xk_re_o_v[10], signed_xk_re_o_v[9], signed_xk_re_o_v[8], signed_xk_re_o_v[7], signed_xk_re_o_v[6], signed_xk_re_o_v[5], signed_xk_re_o_v[4], signed_xk_re_o_v[3], signed_xk_re_o_v[2], signed_xk_re_o_v[1], signed_xk_re_o_v[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], signed_xk_im_o_v[15:0], signed_xk_im_o_v[15], signed_xk_im_o_v[14], signed_xk_im_o_v[13], signed_xk_im_o_v[12], signed_xk_im_o_v[11], signed_xk_im_o_v[10], signed_xk_im_o_v[9], signed_xk_im_o_v[8], signed_xk_im_o_v[7], signed_xk_im_o_v[6], signed_xk_im_o_v[5], signed_xk_im_o_v[4], signed_xk_im_o_v[3], signed_xk_im_o_v[2], signed_xk_im_o_v[1], signed_xk_im_o_v[0], signed_xk_re_o_v[15:0], signed_xk_re_o_v[15], signed_xk_re_o_v[14], signed_xk_re_o_v[13], signed_xk_re_o_v[12], signed_xk_re_o_v[11], signed_xk_re_o_v[10], signed_xk_re_o_v[9], signed_xk_re_o_v[8], signed_xk_re_o_v[7], signed_xk_re_o_v[6], signed_xk_re_o_v[5], signed_xk_re_o_v[4], signed_xk_re_o_v[3], signed_xk_re_o_v[2], signed_xk_re_o_v[1], signed_xk_re_o_v[0], sod_o_v, soud_o_v, eoud_o_v, busy_o_v, ipd_o_v, opd_o_v, eod_o_v,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 1541, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
2, 1467, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
3, 1370, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
4, 1263, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
5, 1151, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
6, 1048, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
7, 962, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
8, 905, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
9, 878, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
10, 884, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
11, 925, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
12, 994, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0,
