Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 877, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 936, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0,
2, 873, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 976, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0,
3, 879, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1021, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1,
4, 891, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1072, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0,
5, 912, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1125, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1,
6, 941, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1180, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0,
7, 977, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1237, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1,
8, 1020, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1294, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0,
9, 1067, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0,
10, 1120, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1396, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0,
11, 1175, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1442, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0,
12, 1231, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1483, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1,
13, 1288, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1516, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0,
14, 1343, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1539, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1,
15, 1394, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1556, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0,
16, 1443, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1566, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0,
17, 1486, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1567, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1,
18, 1523, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1559, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1,
19, 1553, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1542, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0,
20, 1574, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1517, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1,
21, 1588, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1483, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1,
22, 1593, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1442, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0,
23, 1589, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1394, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0,
24, 1573, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1342, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0,
25, 1552, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1288, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,
26, 1519, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1232, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0,
27, 1483, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1176, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0,
28, 1441, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1120, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0,
29, 1391, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1068, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0,
30, 1338, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1019, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1,
31, 1281, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 973, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1,
32, 1224, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 934, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0,
33, 1167, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 900, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0,
34, 1113, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 875, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1,
35, 1063, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 857, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1,
36, 1015, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 849, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1,
37, 972, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 850, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0,
38, 937, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 860, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0,
39, 911, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 878, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0,
40, 887, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 902, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0,
41, 874, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 936, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0,
42, 870, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 975, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1,
43, 874, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1021, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1,
44, 888, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1072, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0,
45, 910, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1125, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1,
46, 941, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1179, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1,
47, 978, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1236, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0,
48, 1020, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1293, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1,
49, 1069, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1347, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1,
